BMW,3,318,4
BMW,3,320D,6
BMW,3,320CI,6
BMW,3,330CI,6
BMW,3,M3,6
BMW,5,520,6
BMW,5,520D,6
BMW,5,530D,6
BMW,5,540I,6
BMW,5,M5,8
BMW,6,645,8
BMW,6,M6,8
BMW,7,730D,6
BMW,7,730I,8
BMW,7,740D,8
BMW,7,750,12
Mercedes,SLK,200,4
Mercedes,SLK,320,6
Mercedes,SLK,55AMG,8
Mercedes,SL,350,6
Mercedes,SL,500,8
Mercedes,SL,55AMG,8
Mercedes,SL,600,12
Mercedes,SL,65AMG,12
Mercedes,S,320CDI,6
Mercedes,S,400CDI,8
Mercedes,S,500,8
Mercedes,S,55AMG,8
Mercedes,S,600,12
Mercedes,S,65AMG,12
Mercedes,C,200,4
Mercedes,C,220CDI,4
Mercedes,C,270CDI,6
Mercedes,C,320,6
Mercedes,C,55AMG,8
Mercedes,E,220CDI,4
Mercedes,E,270CDI,6
Mercedes,E,320,6
Mercedes,E,55AMG,8
Mercedes,CL,500,8
Mercedes,CL,55AMG,8
Mercedes,CL,600,12
Mercedes,CL,65AMG,12
